age,gender,region,feat1,feat2,y_true_bin,y_pred_bin,y_true_reg,y_pred_reg
37,1,mid,0.021,-1.187,0,0,45.96,45.01
39,1,north,2.188,1.226,0,0,60.26,58.83
39,1,mid,1.686,-0.265,0,0,59.37,59.71
53,0,south,0.636,0.063,1,1,54.46,56.15
45,1,north,1.753,-0.122,0,1,57.1,53.21
23,1,north,0.419,0.591,0,1,53.81,53.27
26,1,mid,-0.88,1.902,1,1,49.23,49.25
43,0,mid,0.075,-0.685,0,1,49.41,49.19
48,1,mid,0.83,0.159,1,0,55.53,53.46
32,1,mid,-0.022,-0.306,1,0,46.67,52.43
56,1,mid,0.823,1.375,0,0,50.08,52.66
49,0,mid,0.709,-1.026,1,1,54.66,56.74
56,1,mid,0.549,-0.633,0,1,52.73,52.14
47,1,south,0.309,-0.888,1,1,51.84,65.83
40,0,mid,0.635,-1.408,0,1,51.9,57.16
32,1,south,0.959,0.971,1,1,54.1,52.93
68,1,mid,1.105,3.069,1,0,57.04,56.71
41,0,mid,-0.167,-0.995,0,0,52.49,56.09
59,1,mid,1.65,1.452,0,0,57.71,55.35
37,0,south,-0.25,0.251,1,1,45.35,46.57
45,1,mid,0.77,-0.602,1,0,56.29,56.47
34,1,mid,3.342,0.223,0,1,67.81,62.96
47,1,mid,1.288,0.267,1,1,57.7,56.15
45,0,mid,-0.525,-0.691,1,1,47.64,46.07
30,1,south,2.103,2.431,0,0,65.06,63.46
54,1,mid,0.605,-1.406,0,0,53.07,47.12
46,1,north,0.695,0.881,1,1,54.4,61.27
25,0,mid,0.227,0.332,0,0,47.33,48.84
30,1,south,1.078,-0.08,0,0,54.13,55.37
38,1,north,-1.265,0.65,1,1,42.2,43.13
51,1,north,1.149,1.378,1,1,55.58,62.63
30,0,north,-1.035,0.153,1,1,45.42,46.7
35,1,south,-0.114,0.917,0,0,47.83,50.9
48,1,north,1.122,1.193,1,1,58.97,65.46
41,0,mid,1.138,-2.032,1,1,53.46,47.13
22,1,mid,0.309,1.978,1,1,50.54,50.98
35,1,mid,-0.912,2.778,0,0,45.81,45.29
60,0,north,2.126,0.981,0,1,58.02,49.81
20,0,south,0.411,1.014,1,1,53.1,51.96
35,1,south,-0.748,-0.908,0,0,47.42,47.86
37,1,mid,1.134,0.382,0,0,54.98,58.16
41,1,south,3.678,-0.312,1,1,72.11,62.57
44,0,north,0.33,-0.587,0,0,51.71,53.46
38,0,mid,0.347,0.967,1,1,52.2,56.62
58,1,south,0.933,-0.304,0,0,52.64,51.52
27,0,mid,-0.938,-0.13,1,0,41.86,41.4
55,1,north,2.277,-1.409,0,1,60.02,59.54
49,0,south,2.882,-0.158,0,1,63.67,70.56
35,1,south,0.162,0.59,0,1,49.8,48.66
57,0,mid,1.786,-0.705,0,1,60.37,52.64
41,0,north,2.137,-0.72,0,0,55.81,56.85
57,1,mid,1.492,2.386,1,0,55.09,40.65
51,0,mid,2.192,-1.21,0,0,57.2,58.2
32,0,mid,-0.046,-1.051,1,1,52.35,55.83
34,1,south,-0.837,-0.309,0,0,44.58,44.89
36,1,mid,-0.523,1.699,0,0,46.25,47.03
53,0,south,3.176,2.102,0,0,63.57,65.06
26,1,south,-0.409,0.832,1,1,49.65,50.38
51,0,south,1.47,-0.717,0,1,56.42,57.44
34,1,north,1.437,0.072,1,0,57.53,51.72
42,0,north,-0.166,1.065,0,1,45.0,44.77
32,1,south,1.656,-0.411,0,0,60.52,60.3
18,1,south,0.189,1.953,0,1,51.64,52.9
34,1,mid,2.058,1.917,0,0,61.29,62.92
54,1,north,1.214,0.57,1,1,58.44,59.7
36,0,south,3.447,0.646,1,1,66.75,61.48
40,0,north,2.277,0.75,0,1,60.95,55.84
36,1,mid,1.606,2.054,1,0,59.37,58.8
32,0,mid,-0.444,-1.051,1,1,48.54,52.7
47,0,south,0.873,1.181,0,0,53.77,54.78
27,1,south,-0.069,0.125,0,0,49.64,49.59
36,1,north,0.757,-0.268,1,1,52.68,50.38
57,0,south,-0.153,0.103,0,0,50.57,56.74
35,1,south,1.881,0.286,0,0,61.17,62.04
39,0,north,-0.387,-0.987,0,0,47.98,47.93
25,1,north,-0.438,-1.097,0,0,51.47,51.58
39,0,mid,1.745,-0.942,0,1,55.55,67.35
18,1,mid,-0.228,1.952,0,0,48.29,48.13
70,1,north,2.407,2.463,0,1,65.37,77.19
48,0,south,0.729,0.65,0,0,52.7,61.4
45,0,mid,0.069,1.186,0,1,47.04,47.2
43,1,north,1.291,-0.017,1,1,59.15,61.8
53,1,south,2.146,0.423,1,1,61.72,60.86
43,0,north,0.623,0.283,1,1,50.63,48.14
62,1,south,0.426,-0.581,1,1,53.59,52.78
25,0,south,-0.834,-0.99,0,0,43.68,42.77
27,0,north,0.942,0.097,0,0,51.93,53.46
41,0,south,3.181,-0.32,1,1,65.5,65.61
22,0,north,-1.058,-1.064,0,0,43.65,44.22
42,1,mid,1.523,0.887,1,1,55.32,56.15
59,1,north,2.844,0.237,0,0,63.39,41.55
33,1,north,0.547,1.521,0,0,50.63,51.56
37,1,north,2.783,0.495,0,0,63.94,51.33
31,0,mid,-1.466,-0.3,0,0,42.53,42.7
65,1,mid,0.268,0.628,0,1,52.74,46.6
18,0,north,-1.29,-0.172,1,1,42.54,42.65
48,0,north,0.59,-0.668,1,1,50.19,54.28
40,0,mid,1.675,-0.402,0,1,55.63,43.68
45,1,south,-0.515,1.249,1,1,46.84,47.03
32,0,mid,1.099,0.647,0,0,58.48,58.25
48,1,north,-0.135,1.786,0,0,50.93,37.69
28,0,mid,1.495,-1.693,1,1,56.1,58.04
25,1,north,-1.419,0.107,0,0,44.7,44.73
57,1,mid,0.339,0.085,0,0,49.28,47.75
51,0,mid,0.587,0.172,1,1,54.87,52.71
47,0,north,0.844,-0.452,0,0,53.36,75.84
42,0,south,0.629,-0.513,0,1,54.59,51.83
24,0,south,-0.006,0.783,0,0,51.12,45.72
31,1,north,-0.012,0.678,0,0,49.29,48.36
43,0,mid,1.59,-1.166,0,1,58.51,57.41
34,1,north,0.564,1.835,1,1,50.59,50.2
50,1,south,1.006,1.497,0,1,54.79,54.23
40,0,mid,1.208,-0.574,0,1,58.12,50.79
42,0,mid,0.079,0.831,1,0,58.52,60.14
51,1,north,2.45,-0.235,1,0,63.57,60.18
56,0,north,-1.037,1.126,1,1,44.9,40.81
62,1,north,2.238,0.282,0,0,59.07,56.62
50,0,mid,1.515,-0.803,0,1,59.61,56.91
43,1,south,1.216,0.127,1,1,52.67,58.61
50,1,mid,2.339,-0.266,0,1,59.99,63.39
45,1,north,3.033,0.692,0,0,65.79,63.42
28,0,south,0.343,0.175,0,0,49.2,49.22
42,0,mid,2.053,0.036,1,0,63.26,63.91
41,1,south,2.134,-0.057,0,0,62.77,77.04
41,0,north,1.23,-3.661,0,0,54.92,54.3
34,0,north,1.245,0.093,1,1,55.02,55.49
46,1,north,0.901,-1.396,0,0,51.76,53.94
49,1,south,3.439,0.744,1,1,64.29,57.62
44,0,mid,2.165,1.131,0,1,61.62,62.94
42,0,north,2.087,0.274,1,1,61.59,62.74
41,1,mid,0.079,0.111,0,1,51.01,49.6
30,1,south,-0.289,0.32,1,1,49.0,49.56
53,0,mid,2.778,-0.133,0,1,62.67,69.87
43,1,mid,-0.313,-0.049,0,0,49.07,52.46
37,1,mid,2.65,-0.084,1,1,60.2,58.86
52,1,north,2.349,-0.424,1,0,61.67,63.0
38,1,mid,2.278,1.688,0,1,64.25,80.71
29,0,mid,-2.206,-0.016,1,1,41.53,40.43
48,1,north,1.897,1.456,1,1,58.46,60.01
22,0,mid,1.648,-0.25,1,1,57.48,60.15
44,0,mid,0.237,0.072,0,0,53.86,54.31
53,1,south,2.09,0.33,1,1,63.95,68.54
49,0,north,-0.378,0.463,1,1,45.01,46.22
39,0,mid,1.671,0.827,0,0,57.41,59.67
31,1,north,-0.662,0.74,0,0,47.07,48.35
41,0,south,2.871,-0.674,0,1,66.71,65.16
32,0,south,-1.843,-0.78,0,0,39.01,39.21
29,1,mid,0.692,2.159,1,1,54.66,54.6
36,1,north,-0.237,0.22,1,1,48.12,47.72
23,0,south,0.808,-0.291,0,0,58.72,58.7
53,1,north,1.074,1.965,0,1,56.14,48.22
44,0,mid,0.382,1.088,0,0,51.55,53.78
34,0,mid,2.242,0.534,0,0,60.45,62.15
31,0,mid,-0.83,-0.399,1,1,47.88,49.58
49,1,north,0.294,2.853,0,1,52.74,56.57
26,0,mid,0.723,0.393,0,0,51.35,48.46
40,1,mid,-1.023,1.047,0,0,45.23,46.75
53,0,mid,3.19,-0.171,0,0,63.17,58.17
54,1,mid,3.725,-0.914,1,1,67.02,66.65
47,1,north,0.296,-0.835,0,0,48.79,54.33
44,0,north,0.274,0.407,0,1,48.62,41.11
40,0,mid,2.172,0.392,0,0,59.39,61.91
41,1,south,1.108,0.26,0,0,53.48,53.76
39,0,north,0.822,-1.172,0,0,55.08,54.93
37,1,north,1.157,-0.942,0,0,57.29,56.42
36,1,mid,1.132,0.172,1,0,55.09,58.05
40,1,north,-0.168,-0.956,0,0,46.82,46.36
55,1,north,-0.384,1.399,1,1,49.6,52.74
45,0,south,-1.418,1.153,1,1,38.75,39.98
53,1,mid,2.981,3.329,1,0,60.94,51.28
19,0,south,-0.672,0.878,0,0,48.01,47.51
52,0,south,3.28,-0.593,0,0,67.63,66.67
50,0,mid,2.074,-0.872,0,1,62.24,53.97
18,1,mid,0.36,-2.952,1,0,51.27,47.92
55,0,north,2.798,-0.595,1,1,61.37,61.99
36,1,north,3.801,0.323,0,1,67.89,66.44
38,0,north,2.486,0.968,1,1,63.48,51.92
45,0,mid,0.783,0.612,0,1,52.29,48.52
56,1,mid,1.371,1.088,0,0,55.36,56.91
39,1,north,2.376,0.714,1,1,58.99,55.37
54,0,north,1.507,0.661,0,0,55.11,48.64
60,0,south,0.226,1.448,0,0,52.74,57.5
67,1,north,3.016,-0.565,0,1,65.91,75.13
50,1,north,2.14,0.043,0,0,58.28,46.93
41,1,north,-0.103,-0.889,0,0,47.23,43.18
30,0,mid,0.62,1.619,1,0,51.88,53.01
44,1,mid,1.244,1.797,1,1,57.23,48.89
55,1,mid,2.296,1.252,0,1,59.04,57.28
39,0,north,0.11,-1.199,1,1,50.12,49.67
36,1,north,1.15,0.673,0,0,51.35,51.91
45,1,north,0.71,0.265,0,0,50.93,48.41
35,1,north,-0.564,0.581,0,0,47.94,41.33
34,1,south,0.407,0.312,1,1,53.75,52.52
50,0,north,1.897,0.52,1,1,57.07,60.11
49,1,mid,1.456,0.105,0,1,55.64,55.17
62,1,south,3.03,1.355,1,0,66.66,54.71
55,1,mid,1.45,0.741,0,1,56.38,59.83
32,1,south,-0.951,0.207,0,0,44.07,44.78
55,1,mid,2.93,0.388,1,1,65.6,63.88
41,0,mid,0.935,-0.441,1,0,54.98,52.66
35,1,south,-0.16,1.314,0,1,51.35,54.41
57,0,south,3.025,-0.271,0,0,66.63,75.1
34,1,mid,-0.724,0.795,0,1,45.13,45.29
54,1,north,1.694,0.108,0,0,58.14,61.87
18,1,north,-1.398,-0.985,0,0,42.8,42.75
39,0,mid,-0.326,0.906,0,1,45.56,44.42
45,1,mid,0.843,-0.558,0,0,52.17,45.76
42,1,mid,1.639,1.179,0,1,60.06,61.86
18,1,north,0.37,0.92,1,1,48.58,48.28
32,1,north,-2.298,-1.156,1,1,40.42,40.18
52,1,mid,1.752,-0.445,0,0,59.25,62.04
47,1,south,-0.182,-0.014,0,1,48.72,50.19
45,0,mid,0.934,-0.821,0,1,55.66,61.75
35,1,south,0.678,-0.682,1,1,54.26,52.68
43,1,south,-0.075,1.24,0,1,51.97,52.53
18,0,north,-1.536,-0.24,0,0,41.43,40.84
42,0,south,2.845,0.386,1,1,63.68,61.25
40,0,north,-0.861,-0.431,0,0,45.12,44.27
42,1,north,0.247,0.805,1,1,54.93,56.14
68,0,south,2.2,-0.751,1,1,62.81,68.61
62,1,north,3.411,0.473,0,1,65.12,60.1
54,1,south,1.544,1.082,0,1,56.97,49.01
46,1,north,2.008,0.545,0,0,58.54,58.58
43,0,mid,-0.742,-0.457,1,1,46.23,45.78
46,1,north,3.122,-0.587,0,1,65.96,77.57
43,1,south,0.237,0.668,0,0,55.7,51.32
60,1,south,1.638,0.845,1,1,54.44,41.63
63,0,south,2.896,-0.258,0,1,66.46,65.69
33,1,south,0.317,-0.269,0,0,52.38,52.39
43,1,south,1.11,1.043,1,1,54.06,54.46
45,1,south,3.242,2.982,1,1,65.83,68.09
56,1,mid,1.361,0.198,0,1,55.73,61.95
43,0,north,0.184,0.337,1,0,50.94,49.91
50,0,north,0.735,0.377,0,0,55.61,55.07
25,0,mid,-1.182,-2.566,0,0,40.97,39.21
49,1,mid,3.128,0.624,0,0,68.2,69.9
49,0,south,3.206,-0.707,0,1,65.2,71.18
51,1,mid,0.427,1.885,0,0,55.07,54.29
45,0,north,-0.628,-0.254,0,0,47.61,48.79
28,0,south,1.177,-0.778,1,1,58.28,58.37
34,1,south,1.014,0.282,0,1,56.13,60.68
46,0,north,0.022,0.167,1,1,52.21,53.21
28,0,north,0.568,-0.56,0,0,52.88,51.82
20,0,mid,-2.042,-0.053,0,0,38.05,37.41
61,0,south,1.567,-1.354,0,1,59.11,48.37
40,1,north,-0.404,0.275,0,0,49.33,47.6
56,1,north,1.727,1.276,1,1,62.77,64.64
38,0,south,1.307,1.969,0,0,52.45,55.05
45,1,mid,-1.228,1.207,0,0,43.39,45.35
49,0,mid,2.589,0.272,1,0,65.0,64.62
62,1,south,1.82,1.684,1,1,56.52,54.86
42,0,south,1.35,1.019,1,1,56.22,48.46
42,1,north,0.633,2.164,0,1,57.34,64.25
53,1,north,0.817,1.583,1,1,56.86,59.58
44,0,north,2.36,-0.118,1,1,59.97,55.8
42,1,mid,-0.964,0.758,1,1,47.97,48.66
54,1,mid,2.064,0.679,0,1,62.63,66.56
42,1,south,3.062,0.802,1,1,66.8,53.71
52,1,north,3.033,0.7,0,0,65.86,71.06
47,0,mid,3.56,-0.782,0,0,68.22,69.17
60,1,mid,1.704,-1.604,0,0,56.71,53.97
45,1,north,0.915,-0.172,0,1,53.48,50.56
47,0,north,3.021,-2.026,0,1,66.51,78.75
55,0,mid,1.31,0.068,0,0,56.77,61.38
73,1,south,3.124,0.505,1,1,69.26,82.05
71,0,south,2.011,-1.676,1,1,59.33,51.28
36,0,south,1.196,0.688,0,0,51.11,50.45
37,1,north,0.846,1.367,1,1,53.5,54.41
50,0,mid,0.716,0.096,1,1,54.08,52.87
34,0,north,0.504,1.668,0,0,53.22,52.5
33,0,north,1.398,1.872,1,1,57.07,51.65
36,1,mid,0.233,-0.706,1,1,49.46,51.31
40,1,south,0.226,1.537,0,0,54.07,55.13
27,1,north,0.99,0.941,0,0,53.56,54.02
35,0,north,1.488,0.418,1,1,58.81,60.34
21,0,south,1.736,0.934,1,1,58.05,57.63
58,0,mid,1.894,-0.719,0,1,57.01,54.23
27,1,south,0.985,-0.092,1,1,57.7,58.32
50,1,north,1.91,-0.327,0,1,54.47,49.49
45,0,south,0.753,-0.755,0,0,52.01,55.69
41,0,south,2.032,-0.099,0,0,60.97,60.48
32,1,south,-0.309,-0.952,0,0,47.69,46.81
40,1,north,-1.277,-0.546,1,0,45.06,46.36
34,0,mid,0.286,0.578,1,1,51.18,50.75
31,0,mid,-0.317,-0.071,0,0,47.46,48.01
25,0,north,2.155,0.383,0,0,65.05,64.64
46,0,south,0.207,-1.889,1,0,50.54,48.29
51,1,south,2.935,-0.284,0,0,64.31,68.14
28,1,south,-1.002,-0.055,0,0,42.78,41.43
31,0,south,0.353,0.033,0,0,50.22,51.3
41,0,north,1.671,-0.586,1,1,59.61,54.96
42,0,south,1.802,0.933,1,1,60.09,58.23
27,1,mid,0.304,0.442,0,0,51.48,52.4
41,1,south,2.603,0.517,1,1,61.57,64.55
47,0,mid,2.303,0.014,1,1,62.84,63.59
68,0,south,-0.022,0.708,0,0,46.44,42.8
53,1,mid,0.981,0.028,0,1,54.18,56.84
50,1,north,1.737,1.622,1,1,58.14,47.88
50,1,mid,-1.325,0.96,0,1,41.64,40.25
64,1,south,1.599,0.654,1,1,58.26,55.9
33,0,north,0.54,0.042,0,0,51.33,50.95
39,1,mid,0.561,1.02,0,0,51.16,53.72
47,1,mid,-1.339,1.515,0,0,46.88,46.24
40,0,mid,1.48,0.946,0,0,58.85,59.41
58,1,north,2.266,0.876,0,1,63.7,68.56
38,1,north,2.017,1.377,1,1,60.16,55.02
62,0,south,2.41,0.118,1,0,63.95,60.45
52,1,north,-0.521,1.752,0,1,48.93,48.55
41,0,mid,0.812,-0.027,1,1,56.46,55.87
58,0,mid,1.759,-2.075,1,1,63.51,65.66
23,0,south,0.937,1.338,0,0,54.21,48.41
57,1,mid,1.914,0.608,1,1,60.07,65.11
49,1,south,1.999,-0.671,1,0,59.87,65.08
55,0,mid,3.114,-0.198,0,1,58.52,57.34
42,0,mid,0.124,-0.884,1,1,47.81,46.42
32,1,south,-0.154,2.6,1,1,49.25,49.26
26,0,mid,0.723,0.498,0,1,54.87,53.25
47,1,south,1.341,-1.069,1,1,55.54,57.24
44,1,mid,1.105,1.046,1,1,57.78,57.18
32,1,south,-0.503,0.101,0,0,50.04,50.77
29,1,mid,-0.052,2.417,1,1,48.9,48.47
32,1,south,-0.566,-0.553,0,0,50.01,51.45
18,0,mid,-0.118,-2.247,0,0,52.9,50.59
55,1,north,0.389,0.566,0,0,52.86,49.82
38,0,north,2.004,-0.348,1,1,58.05,58.54
62,0,mid,3.329,-0.417,1,1,69.57,59.0
55,0,mid,0.45,-2.141,0,0,51.91,52.65
35,1,north,-0.054,0.927,0,0,48.97,47.75
25,1,north,3.191,2.173,1,1,66.18,66.46
42,0,mid,2.323,-1.909,1,0,60.53,54.13
31,0,north,0.913,1.171,1,0,56.71,55.38
46,0,south,2.303,-0.569,1,0,63.07,64.29
36,1,south,0.306,2.849,0,0,53.97,53.86
18,0,north,1.41,0.436,0,0,58.21,57.83
54,1,south,1.981,0.312,0,1,58.32,73.39
36,1,south,4.099,1.605,1,1,70.18,70.24
54,0,south,1.118,0.526,1,0,57.34,50.55
50,1,south,2.694,-0.092,1,1,62.66,69.15
40,0,south,-0.002,0.71,1,1,55.83,58.29
34,1,mid,1.817,-0.011,1,1,58.6,59.82
38,1,south,0.669,-1.288,0,0,52.17,57.54
37,0,south,0.942,2.032,1,1,57.01,54.19
26,0,mid,1.924,-0.35,1,0,61.12,64.3
43,0,mid,2.255,-0.609,0,1,61.22,64.64
53,0,mid,-1.112,0.339,0,0,43.98,43.98
63,0,mid,0.654,-1.56,0,1,54.12,54.86
64,1,mid,0.605,-0.854,0,1,54.7,33.68
42,1,mid,0.137,0.0,1,1,52.21,51.64
36,0,south,0.899,-0.52,0,0,53.89,59.25
57,1,north,0.651,0.572,1,1,54.12,48.76
34,0,mid,-0.684,1.123,0,0,48.27,47.73
42,1,north,0.614,0.026,0,1,54.6,55.46
48,1,north,1.254,0.993,0,0,50.1,54.12
52,1,north,2.529,1.102,0,1,60.86,72.29
47,0,north,3.516,-1.084,0,0,66.03,53.69
50,1,south,0.069,0.728,0,1,49.89,50.19
32,1,mid,0.884,-0.443,1,1,54.78,57.36
31,0,mid,-0.418,1.064,1,1,49.75,48.44
58,1,mid,0.492,0.955,1,1,53.7,53.66
50,0,north,1.048,0.017,0,0,54.99,68.18
33,0,south,-0.146,-1.34,0,0,49.31,50.63
56,0,south,0.96,0.116,0,0,58.32,62.1
50,0,mid,1.697,-0.767,0,1,57.26,49.42
40,1,north,2.099,1.206,0,1,61.11,60.19
33,1,north,-0.161,0.381,0,0,52.32,52.71
44,1,south,0.37,-0.312,0,0,52.54,52.23
46,1,south,0.754,1.426,1,1,49.68,49.48
36,0,south,-1.554,0.722,0,0,42.98,46.06
59,0,mid,1.596,-0.593,1,1,57.2,56.56
36,0,mid,1.288,1.162,0,0,56.22,53.31
44,0,south,0.846,-0.298,0,0,56.33,57.06
30,0,mid,0.985,-0.309,1,1,55.86,55.55
50,1,south,1.218,0.624,0,0,55.56,55.25
23,1,north,-0.092,-0.253,0,1,51.32,51.06
36,0,mid,0.219,-0.442,1,1,51.97,54.29
46,1,north,3.547,0.34,0,1,67.95,69.61
58,0,south,3.419,1.53,0,1,67.7,59.29
49,1,north,0.262,2.0,0,1,51.81,51.42
49,1,mid,-1.181,0.241,0,1,43.42,43.89
19,0,mid,-0.638,1.61,0,1,45.89,45.43
59,0,south,1.502,-0.043,1,1,57.56,65.6
40,0,mid,-0.584,0.381,0,0,45.17,47.5
44,0,north,2.031,0.884,0,1,57.64,50.7
48,1,south,-0.28,0.792,1,0,51.2,52.16
34,1,mid,-0.21,2.915,1,1,48.47,54.42
18,1,mid,0.916,0.743,1,1,54.53,56.09
39,0,mid,0.317,-1.198,1,1,51.31,51.15
28,1,south,0.929,1.805,1,1,54.69,57.38
45,1,north,2.629,0.088,0,1,63.19,58.47
39,0,south,0.813,-0.304,0,0,54.2,52.75
38,1,mid,-0.337,-2.492,0,0,46.71,47.26
59,1,north,1.044,1.501,0,0,57.08,57.82
49,0,south,1.175,0.818,0,1,54.49,58.09
36,0,mid,3.747,0.799,0,1,70.81,70.63
35,0,south,1.65,0.978,0,0,54.41,55.39
34,1,north,-0.103,2.191,1,1,47.36,45.82
23,1,south,0.004,0.454,0,0,52.0,52.48
47,0,north,1.714,0.938,1,1,58.27,60.77
37,0,south,1.479,-0.744,1,1,56.06,55.88
23,0,south,2.829,-0.354,0,0,64.9,67.34
42,0,south,1.372,1.057,0,0,54.77,53.0
34,1,mid,-0.539,0.891,0,0,47.46,46.67
55,1,south,1.911,-0.833,1,0,55.12,65.24
36,0,north,-1.282,0.361,0,0,42.69,44.45
41,0,south,0.249,-0.183,0,0,49.95,50.2
35,1,north,0.151,-0.319,0,0,51.83,51.73
63,0,south,4.703,0.434,0,1,75.27,66.39
47,1,mid,1.098,0.095,1,1,53.78,54.87
47,1,north,-1.093,-1.07,1,1,47.75,50.09
39,1,mid,-0.672,-0.611,0,0,45.46,43.97
28,1,mid,1.112,2.269,0,0,51.45,53.13
