Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,sex_F,age,address_U,famsize_GT3,Pstatus_T,schoolsup_yes,famsup_yes,higher_yes,internet_yes,romantic_yes,G3,y_true,y_pred,signed_error,regression_error
3,4,1,2,0,5,3,3,1,1,5,4,11,11,0,16,1,0,0,1,1,1,1,0,11,11,11.3374,-0.3374000000000006,0.3374000000000006
4,4,1,2,0,4,4,5,5,5,5,16,10,12,0,16,1,1,1,0,1,1,1,1,11,11,11.8528,-0.8528000000000002,0.8528000000000002
4,4,1,2,0,5,4,2,3,4,5,0,9,11,0,15,1,1,1,0,1,1,1,0,12,12,10.2325,1.7675,1.7675
4,4,2,2,0,4,3,1,1,1,5,0,17,16,0,15,1,1,1,0,1,1,1,0,17,17,16.4195,0.5805000000000007,0.5805000000000007
4,3,1,2,0,4,5,2,1,1,5,0,17,16,0,15,0,1,1,0,1,1,1,1,16,16,16.2646,-0.2646000000000015,0.2646000000000015
3,3,1,2,0,5,3,2,1,1,2,0,8,10,0,15,1,0,1,0,0,1,1,0,12,12,9.0282,2.9718,2.9718
3,2,1,1,0,5,4,3,1,1,5,0,12,14,0,16,1,1,1,0,1,1,1,0,15,15,14.0612,0.9388000000000004,0.9388000000000004
2,3,2,1,0,3,5,1,1,1,5,0,8,7,1,15,1,1,1,0,1,1,0,0,6,6,6.6696,-0.6696,0.6696
4,3,1,3,0,5,4,3,1,1,4,2,15,16,0,15,1,0,1,0,1,1,1,0,18,18,16.1742,1.825800000000001,1.825800000000001
4,4,2,3,0,2,4,3,1,1,5,7,15,16,0,16,0,1,0,0,1,1,1,1,15,15,16.3359,-1.3358999999999988,1.3358999999999988
3,4,1,3,0,4,3,2,1,1,5,2,12,12,1,15,0,1,1,1,1,1,1,0,11,11,11.7717,-0.7716999999999992,0.7716999999999992
2,2,1,1,0,4,3,1,1,1,2,8,14,13,1,15,0,1,1,1,1,1,0,0,13,13,13.9279,-0.9278999999999992,0.9278999999999992
2,2,2,2,1,3,3,3,1,2,3,25,7,10,1,16,1,0,1,0,1,1,1,1,11,11,9.8636,1.1364,1.1364
4,4,1,1,0,5,4,3,2,4,5,8,12,12,0,15,1,0,1,0,1,1,1,1,12,12,12.2559,-0.2559000000000004,0.2559000000000004
4,4,1,2,0,4,3,3,1,1,5,2,19,18,0,15,1,1,1,0,1,1,1,0,18,18,18.7576,-0.7576,0.7576
2,2,1,1,0,5,4,1,1,1,1,0,8,8,0,15,1,1,1,1,1,1,1,0,11,11,7.489,3.511,3.511
2,2,2,2,1,4,3,3,2,2,5,14,10,10,1,16,1,0,1,1,0,1,1,0,9,9,10.1749,-1.1748999999999992,1.1748999999999992
4,3,1,2,0,5,2,2,1,1,5,8,8,8,1,15,1,0,0,1,1,1,1,1,6,6,8.0081,-2.0081000000000007,2.0081000000000007
3,3,1,2,0,2,3,5,1,4,3,12,11,12,1,16,1,0,0,0,1,1,1,0,11,11,12.7481,-1.7481000000000009,1.7481000000000009
4,3,1,4,0,4,2,2,1,1,2,4,19,19,0,16,1,1,1,0,0,1,1,0,20,20,19.169,0.8309999999999995,0.8309999999999995
4,2,1,2,0,4,3,3,2,2,5,2,15,15,0,15,1,1,1,0,1,1,0,0,14,14,15.6699,-1.6699000000000002,1.6699000000000002
4,4,1,2,1,4,4,4,1,1,3,2,7,7,1,15,1,1,1,1,1,1,1,0,7,7,6.0853,0.9146999999999998,0.9146999999999998
2,2,3,2,0,4,3,3,2,3,4,2,12,13,1,16,1,0,1,0,1,1,1,0,13,13,13.4218,-0.4217999999999993,0.4217999999999993
4,2,1,2,0,4,3,3,1,1,5,2,11,13,1,15,1,0,1,0,1,1,1,0,13,13,12.996,0.0039999999999995,0.0039999999999995
4,2,2,1,1,5,5,5,3,4,5,6,11,11,0,15,1,0,0,0,0,1,0,0,10,10,11.7497,-1.7497000000000007,1.7497000000000007
4,4,1,1,0,3,3,4,2,3,5,0,8,10,1,15,1,1,1,1,1,1,1,0,11,11,9.6145,1.3855000000000004,1.3855000000000004
3,3,1,1,0,5,3,4,4,4,1,6,10,13,1,15,1,0,0,0,0,1,1,0,13,13,13.0022,-0.0022000000000002,0.0022000000000002
2,1,1,2,0,5,3,4,1,1,2,8,8,9,1,16,1,1,0,0,0,1,1,1,10,10,8.6746,1.3254,1.3254
4,3,1,2,0,4,3,2,1,1,1,0,14,15,1,15,1,1,0,0,1,1,1,0,15,15,15.14,-0.1400000000000005,0.1400000000000005
4,4,1,2,0,3,2,2,1,1,5,4,14,15,0,15,1,1,1,0,1,1,0,0,15,15,15.2604,-0.2604000000000006,0.2604000000000006
1,2,1,2,0,4,3,2,1,1,5,2,9,10,0,15,1,0,1,1,1,1,1,0,9,9,9.7853,-0.7852999999999994,0.7852999999999994
4,2,1,2,0,4,2,3,1,1,5,2,15,16,1,16,1,1,1,0,1,1,1,0,16,16,16.4537,-0.4537000000000013,0.4537000000000013
4,4,1,2,0,2,4,4,2,3,4,6,10,11,1,16,0,1,1,0,1,1,0,0,11,11,10.9868,0.0131999999999994,0.0131999999999994
1,1,4,1,0,5,5,5,5,5,5,6,10,8,1,16,1,1,1,1,1,1,1,1,11,11,8.7516,2.2484,2.2484
1,2,1,2,0,4,4,3,1,1,1,4,8,10,1,16,1,0,1,1,0,1,1,0,9,9,9.3708,-0.3707999999999991,0.3707999999999991
4,3,1,3,0,3,4,4,2,4,4,2,10,9,1,16,1,1,1,1,1,1,1,0,9,9,8.814,0.1859999999999999,0.1859999999999999
4,3,1,2,0,4,4,4,2,4,2,0,10,10,1,15,1,0,1,1,0,1,1,1,10,10,9.5464,0.4535999999999998,0.4535999999999998
4,3,3,2,0,5,4,3,1,2,1,2,16,15,1,16,1,0,1,0,1,1,1,0,15,15,15.8386,-0.8385999999999996,0.8385999999999996
4,4,1,4,0,1,3,3,5,5,3,4,13,13,0,15,1,1,0,0,1,1,1,1,12,12,12.5197,-0.5197000000000003,0.5197000000000003
3,1,1,4,0,4,3,3,1,2,5,4,7,7,1,16,1,1,1,1,1,1,1,0,6,6,6.4659,-0.4659000000000004,0.4659000000000004
2,2,2,2,0,4,1,3,1,3,4,2,8,9,1,15,0,0,1,1,1,1,1,0,8,8,9.1728,-1.1728000000000005,1.1728000000000005
3,1,2,4,0,4,4,2,2,3,3,12,16,16,1,15,0,0,1,0,1,1,1,0,16,16,16.8807,-0.8807000000000009,0.8807000000000009
3,1,2,4,0,4,3,2,1,1,5,0,13,15,0,16,1,1,1,0,1,1,1,0,15,15,14.8174,0.1826000000000007,0.1826000000000007
4,2,1,4,0,3,3,3,1,1,3,0,10,10,0,15,1,1,1,0,0,1,1,0,10,10,9.08,0.92,0.92
1,1,1,2,2,3,3,4,2,4,5,2,8,6,1,15,0,1,1,1,1,1,1,1,5,5,5.4254,-0.4253999999999998,0.4253999999999998
3,1,1,1,0,5,3,2,2,2,5,2,12,12,0,16,1,1,1,0,0,1,0,0,14,14,12.3212,1.6788000000000007,1.6788000000000007
3,3,1,2,0,4,3,3,2,4,5,54,11,12,1,16,1,1,1,1,1,1,1,0,11,11,13.8893,-2.8893000000000004,2.8893000000000004
4,3,1,2,0,4,3,3,2,3,5,6,9,9,0,15,1,1,1,0,1,1,1,0,10,10,8.7849,1.2150999999999996,1.2150999999999996
4,0,2,4,0,3,4,3,1,1,1,8,11,11,0,15,1,1,1,0,0,1,1,0,10,10,10.7756,-0.7756000000000007,0.7756000000000007
2,2,1,4,0,5,2,3,1,3,3,0,11,11,1,16,1,1,1,0,0,1,1,1,11,11,10.1493,0.8506999999999998,0.8506999999999998
2,1,2,1,3,4,5,1,1,1,3,2,8,8,0,17,1,1,1,1,1,0,1,0,10,10,7.1642,2.8358,2.8358
3,4,1,2,0,2,4,3,1,2,3,12,5,5,1,16,1,1,1,0,1,1,1,0,5,5,4.1958,0.8041999999999998,0.8041999999999998
2,3,1,1,0,3,2,2,1,3,3,2,10,12,0,15,1,1,1,1,1,1,1,1,12,12,11.6721,0.3278999999999996,0.3278999999999996
2,3,1,3,0,5,3,2,1,2,5,4,11,10,0,15,1,1,1,1,0,1,1,0,11,11,9.6599,1.3400999999999996,1.3400999999999996
3,2,1,2,0,4,4,4,1,1,5,10,7,6,1,15,1,0,1,0,1,1,1,0,6,6,5.9501,0.0499,0.0499
2,2,2,2,0,5,3,3,1,3,4,4,15,15,0,15,1,0,1,0,0,1,1,0,15,15,15.6586,-0.6585999999999999,0.6585999999999999
1,1,1,2,0,4,3,2,2,3,4,2,9,10,1,15,1,1,1,0,1,1,1,0,10,10,9.6438,0.3561999999999994,0.3561999999999994
4,4,2,2,2,4,4,4,2,3,5,6,7,9,1,15,1,1,1,0,0,1,1,1,8,8,7.5647,0.4352999999999998,0.4352999999999998
2,2,1,2,0,4,3,4,1,2,2,4,8,7,1,16,1,0,1,0,1,1,0,0,6,6,7.0498,-1.0498000000000005,1.0498000000000005
4,2,1,3,0,5,3,3,1,3,1,4,13,14,1,15,1,1,1,0,1,1,1,0,14,14,14.0513,-0.0512999999999994,0.0512999999999994
2,2,2,2,1,4,4,2,1,1,3,12,11,10,0,16,1,1,1,0,0,1,1,0,10,10,9.8106,0.1893999999999991,0.1893999999999991
4,4,1,2,0,4,1,3,3,5,5,18,8,6,0,16,1,0,0,0,1,1,0,0,7,7,6.8281,0.1718999999999999,0.1718999999999999
3,3,1,3,0,4,3,3,1,3,4,0,7,7,1,16,1,1,1,0,1,1,1,1,8,8,5.9217,2.0783,2.0783
4,3,1,1,0,4,5,5,1,3,1,4,16,17,1,15,1,1,1,0,0,1,1,0,18,18,17.5209,0.4790999999999989,0.4790999999999989
3,1,1,2,0,3,3,3,2,3,2,4,7,6,1,16,1,0,1,1,1,1,0,0,6,6,6.1131,-0.1131000000000002,0.1131000000000002
4,2,2,2,0,5,3,3,1,1,1,0,11,10,1,16,1,1,1,0,1,1,1,0,10,10,9.9759,0.0241000000000006,0.0241000000000006
2,2,1,4,0,4,3,4,1,1,4,6,11,13,0,15,1,0,1,0,1,1,1,0,14,14,12.7477,1.2523,1.2523
1,1,2,4,1,3,1,2,1,1,1,2,7,10,1,15,0,1,1,1,1,1,1,0,10,10,8.9461,1.0539000000000005,1.0539000000000005
4,3,2,1,0,3,3,3,1,1,4,2,11,15,0,16,0,1,1,1,1,1,1,0,15,15,15.1452,-0.1452000000000008,0.1452000000000008
2,1,1,2,0,4,3,5,1,1,5,2,8,9,1,16,1,1,1,0,1,1,0,1,10,10,8.7759,1.2241,1.2241
4,4,1,1,0,5,3,4,1,2,1,6,11,14,1,16,1,1,1,0,0,1,1,0,14,14,13.7133,0.2866999999999997,0.2866999999999997
4,3,1,3,0,5,3,5,1,1,3,0,7,9,1,16,1,1,1,1,1,1,1,0,8,8,8.2451,-0.2451000000000007,0.2451000000000007
4,4,1,1,0,4,5,5,5,5,4,14,7,7,0,16,1,1,1,1,1,1,1,0,5,5,6.9909,-1.9909,1.9909
4,4,1,3,0,4,4,3,1,1,4,0,16,17,0,16,1,1,1,0,1,1,1,1,17,17,16.7252,0.274799999999999,0.274799999999999
4,4,1,1,0,5,3,3,1,1,5,4,10,13,0,15,1,1,1,0,1,1,1,0,14,14,12.7239,1.2760999999999996,1.2760999999999996
3,2,2,2,0,4,3,5,1,1,2,26,7,6,1,15,1,1,1,1,1,1,1,0,6,6,6.7065,-0.7065000000000001,0.7065000000000001
3,4,1,2,0,5,4,4,1,1,1,0,16,18,0,15,1,1,0,0,1,1,1,0,18,18,18.3283,-0.3282999999999987,0.3282999999999987
3,3,1,4,0,4,3,3,1,1,4,10,10,11,1,15,1,1,0,1,0,1,0,0,11,11,10.9337,0.0663,0.0663
2,2,1,4,0,5,1,2,1,1,3,8,7,8,1,15,1,1,1,1,1,1,1,0,8,8,7.3058,0.6942000000000004,0.6942000000000004
3,3,1,3,0,5,3,3,1,1,5,2,16,18,0,16,1,1,1,0,1,1,1,0,18,18,18.1638,-0.1637999999999984,0.1637999999999984
4,4,4,4,0,1,3,5,3,5,1,6,10,13,0,15,0,1,1,0,1,1,1,1,13,13,12.5468,0.4532000000000007,0.4532000000000007
4,4,1,3,0,5,4,5,1,1,4,4,14,15,1,16,1,0,1,0,1,1,1,1,16,16,14.942,1.0579999999999998,1.0579999999999998
4,4,1,1,0,5,5,3,1,1,4,6,18,19,0,15,1,0,0,0,0,1,1,0,19,19,19.965,-0.965,0.965
3,3,1,3,1,4,1,2,1,1,2,0,7,10,1,16,0,1,1,1,1,1,1,0,10,10,8.7847,1.2152999999999992,1.2152999999999992
2,2,1,2,1,3,1,2,1,1,5,6,10,13,1,16,1,1,1,1,0,1,1,0,13,13,12.4456,0.5543999999999993,0.5543999999999993
4,2,1,1,0,3,5,2,1,1,3,10,18,19,0,15,1,0,1,0,0,1,1,0,19,19,19.9228,-0.9227999999999988,0.9227999999999988
2,1,1,2,0,5,4,2,1,1,5,8,9,9,0,15,0,1,1,0,0,1,1,1,9,9,8.562,0.4380000000000006,0.4380000000000006
4,4,1,2,0,5,4,4,1,2,5,2,15,15,0,16,1,1,1,0,1,1,1,0,16,16,15.3338,0.6661999999999999,0.6661999999999999
4,4,2,2,0,4,4,3,1,1,2,2,11,13,0,15,1,1,1,0,1,1,0,0,14,14,12.8257,1.1743000000000006,1.1743000000000006
3,3,2,1,0,5,4,2,1,1,5,0,13,14,0,16,1,1,1,0,0,1,1,0,13,13,13.9633,-0.9633000000000004,0.9633000000000004
1,3,3,2,1,5,2,4,1,4,5,20,9,7,0,17,0,1,1,0,1,1,1,0,8,8,7.7129,0.2870999999999997,0.2870999999999997
3,4,1,1,0,3,4,3,1,2,4,6,14,13,0,15,1,1,1,0,0,1,1,0,13,13,13.191,-0.1910000000000007,0.1910000000000007
1,2,1,2,0,3,2,3,1,2,1,2,16,15,1,15,1,1,1,0,0,1,1,0,15,15,15.2841,-0.2841000000000004,0.2841000000000004
2,2,1,4,0,5,5,4,1,2,5,6,16,14,0,15,1,1,1,0,1,1,1,0,15,15,14.4743,0.5257000000000005,0.5257000000000005
2,4,2,2,0,4,2,2,1,2,5,2,13,13,1,16,1,0,1,0,1,1,1,1,13,13,12.991,0.0090000000000003,0.0090000000000003
4,4,1,1,0,3,4,4,1,4,5,18,14,11,0,16,1,1,1,0,1,1,1,0,13,13,12.1997,0.8003,0.8003
2,2,1,2,0,5,4,4,1,1,5,0,8,7,1,16,1,1,1,0,0,1,1,1,8,8,6.153,1.8470000000000004,1.8470000000000004
3,4,1,1,0,5,5,5,3,2,5,0,13,13,0,15,1,1,1,1,0,1,1,0,12,12,13.0143,-1.0143000000000004,1.0143000000000004
3,4,1,2,0,5,3,2,1,1,1,0,7,10,1,15,1,0,0,1,0,1,1,1,11,11,8.8975,2.102499999999999,2.102499999999999
0,1,1,2,3,3,4,2,1,1,5,2,7,8,1,19,1,1,1,0,1,0,0,0,9,9,6.8329,2.1671,2.1671
2,2,1,1,2,3,3,3,1,2,4,0,7,4,0,18,0,1,1,0,1,1,1,0,0,0,3.2725,-3.2725,3.2725
4,4,1,1,0,3,5,5,2,5,4,8,18,18,0,16,0,1,1,0,0,1,1,0,18,18,19.0521,-1.0520999999999994,1.0520999999999994
3,4,2,3,2,4,2,2,2,2,5,0,12,0,1,15,0,1,1,0,1,1,1,1,0,0,-0.3735,0.3735,0.3735
1,1,3,1,0,4,3,3,1,2,4,0,8,0,1,15,1,1,1,0,1,1,1,1,0,0,0.2636,-0.2636,0.2636
2,2,1,1,0,3,4,4,1,3,5,12,10,13,1,17,1,0,1,0,1,1,1,1,12,12,13.2341,-1.2340999999999998,1.2340999999999998
3,4,1,1,0,3,2,1,1,4,5,16,12,11,1,16,1,1,0,0,0,1,1,0,11,11,11.653,-0.6530000000000005,0.6530000000000005
3,4,4,2,0,5,3,3,1,1,5,0,9,0,0,15,0,1,1,0,1,1,0,1,0,0,0.2383,-0.2383,0.2383
4,4,1,3,0,4,3,3,1,1,5,0,11,0,1,15,1,1,1,0,1,1,1,1,0,0,0.054,-0.054,0.054
3,4,3,2,0,5,4,5,2,4,5,0,10,0,0,17,0,1,1,0,0,1,0,0,0,0,0.2078,-0.2078,0.2078
3,3,2,1,2,4,3,2,1,1,5,0,4,0,1,16,1,1,0,0,1,1,1,1,0,0,-0.6424,0.6424,0.6424
1,1,1,2,1,4,4,4,1,3,5,0,14,12,0,16,1,0,1,0,0,1,0,1,12,12,12.4063,-0.4062999999999999,0.4062999999999999
4,4,2,1,0,4,3,2,1,1,5,0,16,16,1,15,1,1,1,0,0,1,1,0,15,15,16.3824,-1.3824000000000003,1.3824000000000003
4,3,2,4,0,2,2,2,1,1,3,0,7,9,0,15,1,1,1,1,1,1,1,0,0,0,8.754,-8.754,8.754
2,2,2,1,2,2,3,3,2,2,2,8,9,9,0,16,1,0,1,0,1,1,1,0,9,9,9.2265,-0.2264999999999997,0.2264999999999997
4,4,1,3,0,4,2,2,1,1,5,2,9,11,1,15,1,1,1,0,1,1,1,0,11,11,10.5786,0.4214000000000002,0.4214000000000002
1,1,1,1,0,3,4,4,3,3,1,2,14,14,1,16,1,0,1,0,0,1,1,0,13,13,14.4801,-1.4801000000000002,1.4801000000000002
2,1,1,1,3,5,4,5,1,2,5,0,5,0,0,17,1,1,1,0,1,1,1,0,0,0,-0.3828,0.3828,0.3828
1,1,1,2,0,4,4,2,1,2,5,0,8,11,1,15,1,1,1,0,1,1,1,0,11,11,10.6625,0.3375000000000003,0.3375000000000003
3,2,1,2,3,3,3,2,1,1,3,0,6,7,1,15,1,1,1,0,1,1,1,0,0,0,6.3154,-6.3154,6.3154
1,2,1,2,0,4,3,2,1,1,5,2,10,11,1,15,1,1,1,0,1,1,1,0,11,11,10.904,0.096,0.096
4,4,1,1,0,3,3,2,2,1,5,0,7,6,0,16,1,1,1,0,1,0,1,1,0,0,5.7421,-5.7421,5.7421
2,1,4,1,3,4,5,5,2,5,5,0,8,9,0,15,1,0,0,0,0,1,1,0,10,10,9.1174,0.8826,0.8826
1,1,1,1,3,2,3,5,2,5,4,0,6,5,0,18,1,0,1,0,0,0,1,1,0,0,4.8708,-4.8708,4.8708
2,1,1,1,1,4,4,4,3,5,5,6,12,13,0,16,1,0,1,0,0,1,0,1,14,14,13.146,0.8539999999999992,0.8539999999999992
3,3,2,3,2,4,2,1,2,3,3,8,10,10,1,15,0,1,1,0,1,1,1,1,10,10,9.5389,0.4611,0.4611
3,2,1,1,3,4,5,4,1,1,4,0,5,0,0,19,1,1,1,0,1,0,1,1,0,0,-0.2632,0.2632,0.2632
4,4,1,1,0,4,2,1,1,1,4,0,11,11,1,17,1,1,1,1,1,1,0,1,12,12,11.0261,0.9739000000000004,0.9739000000000004
2,3,1,2,0,4,4,4,1,1,1,2,11,8,0,15,0,1,1,1,0,1,0,0,8,8,8.1666,-0.1666000000000007,0.1666000000000007
1,2,1,1,0,2,2,2,3,3,5,8,16,12,0,17,0,0,1,0,0,1,0,0,13,13,12.6355,0.3644999999999996,0.3644999999999996
1,1,3,1,3,5,2,5,1,5,4,6,9,8,1,18,0,1,1,0,1,1,0,0,10,10,8.1595,1.8405000000000005,1.8405000000000005
2,2,3,1,0,4,2,2,1,2,3,2,17,15,0,16,0,1,1,0,0,1,0,0,15,15,15.7749,-0.7749000000000006,0.7749000000000006
3,3,1,2,1,4,5,5,4,4,5,4,10,12,0,16,1,1,1,0,1,1,1,1,12,12,11.5476,0.4524000000000008,0.4524000000000008
2,1,2,1,2,3,3,2,2,2,5,0,7,6,0,17,0,0,1,0,0,0,1,1,0,0,5.8677,-5.8677,5.8677
3,2,2,2,2,4,4,4,1,4,3,6,5,9,0,15,0,1,1,1,1,1,1,1,7,7,8.4102,-1.4101999999999997,1.4101999999999997
1,2,2,1,1,4,4,4,2,4,5,0,7,0,0,16,1,0,1,0,0,1,0,0,0,0,0.1606,-0.1606,0.1606
1,3,1,1,0,5,3,3,1,4,2,2,10,10,0,17,1,1,1,0,0,0,1,0,10,10,10.2058,-0.2057999999999999,0.2057999999999999
1,1,4,2,3,5,3,5,1,5,5,0,5,8,0,17,0,0,1,0,0,0,0,1,7,7,7.9658,-0.9657999999999998,0.9657999999999998
3,2,2,1,1,4,5,2,1,1,2,16,12,11,0,16,1,1,1,0,1,0,0,0,12,12,11.8813,0.1187000000000004,0.1187000000000004
2,2,1,2,0,4,3,5,2,4,4,4,10,10,0,16,1,1,1,0,0,0,1,0,10,10,10.2319,-0.2318999999999995,0.2318999999999995
4,2,1,2,0,4,2,3,1,1,3,0,14,15,1,16,1,1,1,0,0,1,1,1,16,16,15.033,0.9670000000000004,0.9670000000000004
4,4,1,2,0,4,4,2,1,1,3,0,14,14,1,16,1,1,1,0,1,1,1,1,14,14,13.9898,0.0101999999999993,0.0101999999999993
3,4,3,1,2,3,4,5,2,4,2,0,6,5,0,16,1,1,1,0,1,1,1,0,0,0,4.7482,-4.7482,4.7482
1,0,2,2,0,4,3,2,1,1,3,2,13,15,0,16,1,1,1,0,1,1,1,1,16,16,15.2967,0.7033000000000005,0.7033000000000005
4,4,1,2,0,4,4,4,1,3,5,0,13,11,0,17,1,0,1,0,1,1,1,0,10,10,11.3114,-1.3114000000000008,1.3114000000000008
1,3,1,2,3,4,3,5,1,1,3,0,8,7,1,16,1,1,1,0,0,1,1,1,0,0,6.4583,-6.4583,6.4583
3,3,2,2,0,4,4,5,1,1,4,4,10,11,1,16,1,0,1,0,1,1,1,0,9,9,11.3197,-2.319699999999999,2.319699999999999
4,3,2,2,0,4,4,4,4,4,4,4,10,9,0,17,1,0,1,0,0,1,1,0,9,9,9.0257,-0.0257000000000005,0.0257000000000005
2,2,2,2,0,3,4,4,1,4,5,2,13,13,1,16,1,1,1,0,0,1,1,0,11,11,13.2908,-2.290800000000001,2.290800000000001
3,3,1,2,0,4,3,4,1,4,4,4,6,5,0,17,1,1,1,0,0,1,1,0,6,6,4.5396,1.4604,1.4604
4,2,1,1,0,4,3,3,3,4,3,10,10,8,0,16,0,1,1,0,1,1,1,1,9,9,7.7778,1.2222,1.2222
4,3,1,2,0,5,2,3,1,1,2,4,10,10,0,17,1,1,1,0,1,1,1,1,11,11,9.8275,1.1724999999999994,1.1724999999999994
4,3,1,2,0,3,4,3,2,3,3,10,9,8,0,16,1,1,1,0,1,1,1,0,8,8,7.8935,0.1064999999999996,0.1064999999999996
3,3,1,2,0,4,2,3,1,2,3,2,12,13,0,16,1,1,1,0,0,1,1,1,12,12,12.8517,-0.8516999999999992,0.8516999999999992
2,4,1,2,0,5,4,2,2,3,5,0,16,17,1,17,1,1,1,0,1,1,0,0,17,17,17.2364,-0.2363999999999997,0.2363999999999997
3,3,1,2,0,5,3,3,2,3,1,56,9,9,1,17,1,0,1,0,1,1,1,1,8,8,9.7552,-1.7552000000000003,1.7552000000000003
3,2,1,2,0,1,2,2,1,2,1,14,12,13,1,16,1,1,1,0,1,1,1,0,12,12,13.3146,-1.3146000000000004,1.3146000000000004
3,3,1,2,0,4,3,4,2,3,4,12,12,12,0,17,1,1,1,0,1,1,1,1,11,11,12.1009,-1.100899999999999,1.100899999999999
1,2,1,1,0,3,3,3,1,2,3,2,11,12,0,16,1,1,1,0,1,1,1,1,11,11,12.0054,-1.0053999999999998,1.0053999999999998
