age,priors_count,sex,race,true_class,predicted_class,errors
28,6,Male,African-American,1,0,1
32,12,Male,African-American,1,1,0
28,5,Male,African-American,1,1,0
21,0,Male,Hispanic,0,1,1
49,13,Male,African-American,0,1,1
41,19,Male,African-American,1,0,1
63,22,Male,African-American,1,0,1
59,1,Male,Other,0,0,0
30,4,Male,African-American,0,1,1
59,0,Male,Caucasian,0,0,0
53,6,Female,Caucasian,1,0,1
21,2,Male,Caucasian,1,1,0
38,0,Male,Other,0,0,0
32,0,Male,African-American,0,0,0
56,13,Male,Caucasian,0,1,1
22,2,Male,African-American,1,1,0
21,0,Male,Caucasian,1,0,1
29,2,Male,Caucasian,1,1,0
35,2,Male,African-American,0,0,0
33,4,Male,Caucasian,0,0,0
44,5,Male,Caucasian,0,0,0
21,0,Male,Caucasian,0,1,1
21,2,Male,African-American,1,1,0
20,1,Female,Caucasian,1,1,0
46,4,Male,African-American,0,0,0
43,2,Male,Caucasian,0,0,0
44,0,Male,Caucasian,1,0,1
44,11,Female,African-American,1,0,1
40,0,Male,Caucasian,0,0,0
44,0,Male,African-American,0,0,0
20,1,Female,Other,0,0,0
29,4,Male,African-American,1,1,0
25,7,Male,Caucasian,1,1,0
44,0,Male,Hispanic,0,0,0
28,4,Male,African-American,0,1,1
24,0,Male,Caucasian,0,0,0
32,17,Male,African-American,1,1,0
22,2,Male,African-American,1,1,0
24,0,Male,African-American,1,1,0
25,1,Female,African-American,1,0,1
34,3,Male,Caucasian,1,0,1
24,0,Male,African-American,0,0,0
22,0,Male,African-American,0,1,1
33,8,Male,African-American,0,0,0
24,1,Female,African-American,0,1,1
46,11,Male,Caucasian,1,1,0
23,3,Male,Caucasian,1,1,0
53,36,Male,Caucasian,1,1,0
31,13,Male,African-American,1,1,0
60,1,Male,Other,1,0,1
67,8,Male,African-American,0,1,1
24,1,Male,African-American,0,0,0
28,8,Male,African-American,1,1,0
60,3,Male,African-American,0,0,0
32,2,Female,African-American,0,0,0
38,5,Male,African-American,0,0,0
28,0,Female,Hispanic,0,1,1
56,1,Female,Caucasian,0,1,1
59,0,Female,Caucasian,0,0,0
26,12,Male,African-American,1,1,0
33,0,Male,Other,0,0,0
44,2,Male,African-American,0,0,0
24,1,Female,African-American,1,1,0
27,2,Male,Caucasian,1,1,0
37,0,Male,African-American,1,0,1
34,1,Male,African-American,0,0,0
23,0,Male,African-American,0,0,0
34,0,Male,African-American,0,0,0
20,0,Female,African-American,0,0,0
24,3,Male,African-American,0,0,0
41,1,Male,African-American,0,0,0
31,7,Male,African-American,1,0,1
21,0,Male,Caucasian,1,1,0
32,1,Male,African-American,1,1,0
46,0,Male,Asian,0,0,0
53,6,Male,Caucasian,0,0,0
20,1,Male,African-American,1,1,0
29,7,Male,Caucasian,1,1,0
31,0,Female,African-American,0,0,0
20,0,Male,African-American,0,0,0
20,2,Male,African-American,1,1,0
25,0,Male,African-American,0,1,1
49,3,Male,Caucasian,0,0,0
50,11,Male,Hispanic,0,1,1
25,0,Male,Caucasian,1,0,1
20,4,Female,Caucasian,1,1,0
25,3,Male,African-American,0,1,1
38,3,Male,Caucasian,1,1,0
69,0,Male,Caucasian,0,0,0
56,2,Female,African-American,1,0,1
27,2,Male,Caucasian,0,1,1
46,0,Female,Caucasian,1,0,1
27,1,Male,African-American,0,1,1
22,0,Male,Native American,1,1,0
61,15,Male,African-American,1,1,0
22,3,Male,African-American,1,1,0
33,3,Male,Caucasian,1,0,1
41,0,Male,Caucasian,1,0,1
41,1,Male,African-American,0,1,1
25,9,Male,Caucasian,1,1,0
42,1,Male,Caucasian,0,1,1
24,2,Male,African-American,0,1,1
35,8,Male,African-American,0,1,1
20,0,Male,African-American,0,0,0
21,2,Male,African-American,1,1,0
32,1,Male,African-American,0,0,0
27,12,Male,African-American,1,0,1
36,13,Male,African-American,1,1,0
53,1,Male,Hispanic,1,0,1
49,2,Male,Hispanic,0,0,0
21,0,Male,Hispanic,0,1,1
38,0,Male,African-American,0,0,0
23,1,Male,African-American,0,0,0
29,7,Male,African-American,1,1,0
20,1,Male,African-American,1,1,0
19,1,Male,African-American,1,1,0
21,0,Male,African-American,0,0,0
30,3,Male,African-American,0,1,1
22,0,Male,Caucasian,0,0,0
31,9,Female,African-American,1,0,1
56,1,Male,Caucasian,0,0,0
21,1,Male,Caucasian,1,0,1
24,0,Male,Caucasian,1,0,1
36,13,Female,African-American,1,1,0
26,5,Male,African-American,1,1,0
29,0,Male,African-American,0,0,0
33,16,Male,African-American,1,1,0
30,2,Female,Caucasian,1,1,0
20,2,Male,Hispanic,1,1,0
29,1,Female,African-American,0,0,0
38,1,Male,Other,1,0,1
37,3,Male,Caucasian,0,1,1
39,2,Male,Caucasian,0,1,1
21,0,Male,African-American,0,0,0
55,0,Male,Caucasian,0,0,0
37,6,Male,Hispanic,1,0,1
39,2,Male,Caucasian,0,1,1
49,1,Male,Caucasian,0,1,1
29,10,Male,African-American,1,1,0
23,1,Male,African-American,1,1,0
22,2,Male,African-American,1,1,0
26,1,Male,African-American,1,1,0
32,9,Male,African-American,0,1,1
29,2,Male,African-American,0,0,0
46,5,Male,African-American,1,0,1
47,2,Male,Caucasian,0,0,0
21,0,Male,African-American,1,0,1
24,2,Male,Caucasian,0,0,0
43,6,Male,Caucasian,1,0,1
22,1,Male,Hispanic,1,0,1
43,0,Male,Caucasian,0,0,0
44,0,Male,African-American,1,0,1
59,14,Male,African-American,1,1,0
23,1,Male,African-American,0,0,0
28,0,Female,Caucasian,0,0,0
49,10,Male,Caucasian,1,0,1
24,12,Male,African-American,1,1,0
35,8,Male,African-American,0,1,1
36,10,Male,Caucasian,1,0,1
47,28,Female,Caucasian,1,1,0
25,3,Male,African-American,1,1,0
46,4,Female,African-American,0,0,0
43,0,Male,Caucasian,0,1,1
24,15,Male,African-American,1,1,0
38,2,Male,Caucasian,0,0,0
30,15,Male,African-American,1,1,0
39,13,Male,African-American,1,1,0
22,0,Male,African-American,1,0,1
36,9,Male,African-American,0,0,0
29,0,Female,Hispanic,0,0,0
51,0,Male,Hispanic,0,0,0
35,4,Male,African-American,1,0,1
59,1,Female,Caucasian,0,0,0
54,2,Male,Other,0,0,0
48,0,Male,Caucasian,0,0,0
33,3,Male,Caucasian,0,0,0
50,0,Male,African-American,0,0,0
30,1,Female,African-American,0,0,0
21,3,Female,Caucasian,1,1,0
30,4,Male,African-American,0,1,1
36,0,Male,Caucasian,0,0,0
55,0,Male,Hispanic,0,0,0
22,1,Male,African-American,0,1,1
42,0,Female,Caucasian,0,1,1
21,0,Male,Caucasian,0,1,1
21,0,Male,African-American,0,1,1
28,3,Female,African-American,1,0,1
29,0,Female,African-American,0,0,0
32,4,Male,African-American,1,1,0
23,1,Male,African-American,0,1,1
46,1,Male,Hispanic,0,0,0
28,1,Male,African-American,0,1,1
47,0,Male,Hispanic,0,0,0
31,6,Male,African-American,1,1,0
29,0,Male,Caucasian,0,0,0
46,3,Male,Asian,1,0,1
52,2,Female,African-American,1,0,1
26,5,Male,Caucasian,1,0,1
50,1,Male,Caucasian,0,0,0
33,7,Male,Caucasian,1,1,0
22,3,Male,Caucasian,1,1,0
25,3,Male,Other,1,0,1
24,0,Male,African-American,1,0,1
24,7,Male,African-American,1,1,0
24,0,Male,African-American,0,1,1
25,10,Male,Hispanic,1,1,0
27,8,Male,African-American,1,1,0
41,2,Female,African-American,1,0,1
24,2,Male,Caucasian,0,1,1
39,0,Female,Caucasian,0,0,0
39,8,Male,Caucasian,0,0,0
21,0,Male,Caucasian,0,1,1
32,5,Female,Caucasian,0,1,1
23,2,Male,African-American,0,1,1
45,15,Male,African-American,1,0,1
22,0,Female,African-American,1,0,1
39,0,Male,Hispanic,0,0,0
20,0,Male,Hispanic,1,1,0
29,8,Male,Other,1,1,0
43,3,Male,African-American,1,1,0
40,0,Male,Hispanic,0,0,0
44,8,Male,Hispanic,1,1,0
33,3,Male,Other,0,1,1
54,2,Male,Caucasian,0,0,0
23,0,Male,Hispanic,1,0,1
64,8,Male,Caucasian,1,1,0
28,0,Male,Caucasian,1,1,0
31,9,Male,African-American,0,1,1
26,3,Male,Caucasian,0,1,1
32,1,Male,Caucasian,1,1,0
45,3,Male,Caucasian,0,1,1
30,1,Male,African-American,1,0,1
31,2,Male,African-American,0,0,0
46,2,Male,Caucasian,0,0,0
25,21,Male,African-American,1,1,0
56,1,Male,African-American,0,0,0
23,3,Male,African-American,0,1,1
43,1,Male,Hispanic,0,0,0
34,8,Male,African-American,1,1,0
23,3,Male,African-American,1,1,0
51,6,Male,Caucasian,1,0,1
32,9,Male,African-American,1,1,0
63,1,Male,Caucasian,0,0,0
22,1,Male,Caucasian,1,0,1
57,0,Female,African-American,0,0,0
38,7,Male,Hispanic,1,0,1
29,9,Male,African-American,1,1,0
30,6,Male,Other,1,1,0
33,1,Male,Caucasian,0,1,1
30,0,Male,Caucasian,0,0,0
28,11,Male,Caucasian,0,1,1
25,5,Male,African-American,0,1,1
30,0,Male,Caucasian,0,0,0
25,0,Female,Other,0,0,0
63,0,Male,African-American,0,0,0
23,2,Male,African-American,1,1,0
22,3,Male,African-American,0,1,1
43,9,Male,Caucasian,0,0,0
24,0,Male,Caucasian,1,0,1
20,0,Male,African-American,1,0,1
30,0,Male,Caucasian,0,0,0
41,9,Male,African-American,0,1,1
25,4,Male,Caucasian,0,1,1
26,5,Male,African-American,0,0,0
45,6,Female,Asian,1,1,0
22,0,Male,Hispanic,1,0,1
37,8,Male,Hispanic,1,0,1
30,8,Female,African-American,1,1,0
51,0,Female,Caucasian,0,0,0
24,1,Female,African-American,1,0,1
33,0,Male,Caucasian,0,1,1
40,4,Male,Caucasian,0,1,1
27,0,Male,African-American,0,1,1
26,11,Male,Caucasian,0,0,0
33,1,Male,Caucasian,1,1,0
25,2,Female,African-American,1,0,1
38,1,Male,Other,0,0,0
32,0,Male,Caucasian,0,0,0
33,1,Male,African-American,1,1,0
26,2,Male,Caucasian,0,0,0
43,1,Male,Other,0,0,0
28,0,Male,Caucasian,0,0,0
25,0,Female,African-American,1,0,1
35,9,Male,African-American,0,0,0
52,3,Male,African-American,1,0,1
23,6,Male,African-American,0,1,1
39,1,Male,Other,0,0,0
29,2,Female,African-American,0,1,1
34,1,Male,Caucasian,0,1,1
21,1,Male,African-American,1,1,0
27,0,Male,African-American,0,0,0
22,1,Female,Caucasian,0,0,0
29,5,Male,Other,0,1,1
26,1,Male,Caucasian,0,0,0
54,7,Male,Caucasian,0,0,0
41,8,Male,African-American,0,0,0
26,1,Male,Hispanic,0,0,0
27,10,Male,African-American,0,1,1
33,0,Female,Other,0,0,0
29,0,Male,African-American,1,1,0
43,0,Male,Caucasian,0,0,0
24,3,Male,Caucasian,1,1,0
43,2,Male,African-American,0,0,0
35,5,Male,Hispanic,0,0,0
40,3,Female,Other,0,0,0
27,0,Male,Caucasian,0,0,0
37,0,Male,African-American,1,0,1
36,1,Male,Asian,0,0,0
35,3,Female,African-American,1,1,0
49,1,Male,Caucasian,0,1,1
35,0,Male,African-American,0,0,0
30,8,Male,African-American,1,1,0
28,0,Male,Caucasian,0,1,1
46,15,Male,African-American,1,0,1
32,7,Male,Hispanic,0,1,1
56,5,Male,Caucasian,0,0,0
24,0,Male,African-American,0,0,0
25,8,Male,African-American,1,0,1
20,2,Female,African-American,1,1,0
26,0,Male,Caucasian,0,0,0
25,5,Male,Caucasian,1,1,0
24,2,Male,Caucasian,1,1,0
23,1,Male,African-American,1,1,0
23,1,Female,African-American,0,0,0
44,2,Male,Hispanic,1,0,1
45,1,Male,African-American,1,0,1
28,1,Male,Caucasian,1,0,1
30,0,Male,African-American,0,0,0
31,3,Male,African-American,1,0,1
27,0,Male,Caucasian,1,0,1
33,2,Male,Caucasian,0,0,0
24,2,Male,African-American,1,1,0
27,13,Male,African-American,1,1,0
33,0,Female,Other,0,0,0
30,2,Male,Other,0,0,0
35,5,Male,African-American,1,0,1
27,0,Male,Caucasian,1,0,1
23,0,Male,African-American,0,0,0
50,4,Male,African-American,0,0,0
31,5,Male,Hispanic,1,1,0
53,0,Female,Caucasian,0,0,0
24,1,Male,African-American,1,0,1
37,0,Female,African-American,0,0,0
27,1,Male,Caucasian,1,0,1
27,5,Male,Caucasian,0,0,0
25,0,Male,African-American,1,0,1
47,1,Male,Caucasian,0,0,0
30,21,Male,African-American,1,0,1
24,1,Male,African-American,0,0,0
32,1,Male,African-American,0,0,0
46,0,Male,Caucasian,1,0,1
28,5,Male,Caucasian,1,1,0
24,1,Male,Caucasian,0,1,1
59,2,Male,Caucasian,0,0,0
53,0,Male,Caucasian,0,1,1
23,1,Male,African-American,1,1,0
57,3,Male,Caucasian,0,0,0
53,13,Male,African-American,0,1,1
41,1,Male,Caucasian,1,1,0
32,8,Female,Hispanic,1,1,0
20,0,Female,African-American,1,0,1
29,0,Male,African-American,1,0,1
33,10,Male,African-American,1,1,0
61,30,Male,African-American,0,1,1
33,3,Male,African-American,0,0,0
24,0,Male,Hispanic,1,0,1
61,0,Female,Caucasian,0,0,0
32,0,Male,Caucasian,0,0,0
50,3,Male,Caucasian,0,1,1
22,0,Male,African-American,0,1,1
28,1,Male,Caucasian,0,0,0
46,1,Female,Other,0,0,0
24,7,Female,African-American,0,1,1
31,1,Female,African-American,0,0,0
56,2,Male,Hispanic,0,0,0
36,7,Female,African-American,1,0,1
20,1,Male,African-American,1,0,1
25,7,Female,African-American,1,1,0
35,6,Male,African-American,0,0,0
22,2,Male,African-American,1,1,0
21,0,Male,Caucasian,1,1,0
33,1,Male,Caucasian,0,0,0
28,1,Male,Caucasian,0,0,0
52,6,Male,African-American,1,0,1
43,0,Male,Hispanic,0,0,0
29,1,Male,African-American,1,0,1
25,0,Female,African-American,0,0,0
24,3,Male,Caucasian,1,1,0
31,1,Male,African-American,0,0,0
21,0,Male,African-American,1,1,0
55,0,Male,African-American,1,0,1
24,0,Female,African-American,0,0,0
34,0,Male,Caucasian,0,1,1
31,1,Male,Hispanic,1,0,1
24,3,Male,Other,1,1,0
31,9,Male,Caucasian,1,1,0
26,1,Female,African-American,0,0,0
21,0,Male,African-American,0,1,1
25,0,Male,Caucasian,0,0,0
56,0,Male,Caucasian,1,0,1
24,1,Female,Caucasian,0,0,0
56,1,Male,African-American,0,0,0
30,10,Female,African-American,1,1,0
29,0,Male,African-American,0,0,0
59,13,Male,African-American,1,1,0
25,0,Female,Hispanic,0,0,0
27,1,Male,Hispanic,0,0,0
62,0,Male,Caucasian,0,0,0
30,10,Male,African-American,0,1,1
48,12,Male,African-American,0,0,0
39,0,Male,African-American,0,0,0
50,9,Male,Caucasian,1,0,1
25,0,Male,African-American,0,0,0
21,1,Male,Caucasian,0,0,0
41,0,Male,Caucasian,0,0,0
46,2,Male,Other,0,0,0
27,15,Male,African-American,1,1,0
56,5,Male,Caucasian,0,0,0
47,14,Male,African-American,1,1,0
37,0,Male,Other,0,1,1
41,3,Male,African-American,1,0,1
41,5,Male,Caucasian,1,0,1
32,0,Male,African-American,0,0,0
57,3,Male,Caucasian,0,0,0
28,4,Male,African-American,1,1,0
33,4,Male,African-American,0,1,1
33,0,Male,Caucasian,0,1,1
38,0,Male,Caucasian,0,0,0
32,7,Male,African-American,0,1,1
41,6,Male,African-American,1,0,1
57,11,Male,African-American,0,1,1
30,2,Male,African-American,0,0,0
34,2,Female,Caucasian,0,0,0
23,1,Male,African-American,0,1,1
37,0,Female,Caucasian,0,0,0
18,2,Male,African-American,1,1,0
50,0,Male,Caucasian,1,0,1
23,3,Female,African-American,1,1,0
22,2,Female,African-American,1,0,1
30,6,Male,Hispanic,1,1,0
35,0,Male,Caucasian,0,0,0
23,0,Male,African-American,0,0,0
45,19,Male,Caucasian,1,1,0
30,1,Male,African-American,0,0,0
27,3,Male,African-American,1,0,1
36,9,Male,African-American,1,0,1
37,2,Female,African-American,0,0,0
26,9,Male,Caucasian,1,1,0
20,1,Male,Caucasian,1,0,1
33,11,Male,Hispanic,1,1,0
43,2,Male,Other,0,0,0
31,0,Male,African-American,0,0,0
31,0,Male,Other,0,0,0
33,5,Male,African-American,1,1,0
37,0,Male,Caucasian,0,0,0
49,12,Male,Caucasian,1,0,1
29,8,Male,African-American,1,1,0
53,3,Male,Caucasian,1,1,0
64,2,Female,Caucasian,0,1,1
22,0,Male,African-American,1,0,1
27,9,Male,African-American,1,1,0
36,1,Male,Hispanic,0,0,0
29,1,Male,Hispanic,0,0,0
44,0,Male,Caucasian,0,0,0
27,1,Male,African-American,0,1,1
22,0,Female,African-American,1,0,1
29,6,Male,African-American,1,1,0
36,1,Female,African-American,0,0,0
25,4,Male,African-American,0,1,1
31,2,Female,African-American,1,0,1
35,1,Male,African-American,0,0,0
29,3,Male,Caucasian,1,1,0
44,4,Male,Caucasian,0,1,1
50,1,Female,Hispanic,1,0,1
31,1,Male,Other,0,0,0
26,9,Male,Caucasian,1,1,0
47,0,Male,Caucasian,0,0,0
47,3,Male,Caucasian,0,0,0
48,0,Female,African-American,1,0,1
33,0,Male,Caucasian,1,1,0
29,6,Male,African-American,1,1,0
24,3,Male,African-American,1,1,0
29,0,Male,African-American,0,1,1
24,10,Male,African-American,0,1,1
24,6,Male,African-American,1,1,0
70,11,Male,Caucasian,1,1,0
21,1,Male,African-American,0,1,1
51,2,Male,Caucasian,1,1,0
47,0,Male,Caucasian,1,0,1
28,2,Male,Caucasian,1,1,0
44,5,Male,Caucasian,0,0,0
42,17,Female,African-American,1,1,0
40,8,Male,African-American,1,0,1
21,2,Male,Caucasian,1,1,0
64,7,Female,Caucasian,0,0,0
52,17,Male,African-American,1,1,0
52,0,Male,Hispanic,0,0,0
53,8,Male,Caucasian,0,1,1
38,0,Male,Asian,0,0,0
47,3,Male,African-American,0,0,0
22,2,Male,Caucasian,0,1,1
56,0,Male,Caucasian,0,0,0
41,0,Male,African-American,0,0,0
37,0,Male,Caucasian,0,0,0
51,4,Male,African-American,0,0,0
41,3,Male,Hispanic,0,0,0
45,0,Male,Hispanic,0,0,0
26,3,Male,African-American,1,1,0
35,4,Male,Caucasian,1,0,1
21,1,Male,Caucasian,0,0,0
24,2,Male,African-American,1,0,1
26,2,Male,Asian,1,1,0
50,11,Male,African-American,0,1,1
40,2,Female,Hispanic,0,0,0
39,3,Female,Caucasian,0,0,0
23,0,Male,Other,1,1,0
42,17,Male,African-American,1,1,0
45,15,Male,African-American,1,1,0
31,2,Male,African-American,0,0,0
46,3,Male,African-American,0,0,0
29,2,Male,Hispanic,0,0,0
22,0,Male,African-American,1,0,1
50,1,Male,Caucasian,0,0,0
36,6,Male,African-American,0,0,0
30,1,Female,African-American,0,0,0
47,2,Male,Caucasian,0,0,0
30,1,Male,African-American,0,0,0
51,5,Male,African-American,0,0,0
25,1,Male,Other,0,1,1
23,0,Male,African-American,0,0,0
55,0,Male,Caucasian,0,0,0
46,13,Male,African-American,1,0,1
23,2,Female,African-American,1,0,1
27,3,Male,African-American,1,1,0
22,12,Male,African-American,1,1,0
26,0,Male,Caucasian,1,0,1
50,3,Male,Hispanic,1,0,1
41,1,Male,Caucasian,0,0,0
24,0,Female,Caucasian,0,1,1
38,3,Female,Caucasian,0,0,0
25,5,Male,African-American,0,1,1
24,1,Male,Caucasian,0,1,1
24,7,Female,Caucasian,0,1,1
24,0,Male,African-American,1,1,0
29,5,Male,African-American,0,0,0
24,0,Male,African-American,1,1,0
22,1,Male,Caucasian,0,1,1
51,5,Female,Caucasian,0,1,1
23,5,Male,African-American,1,1,0
64,8,Male,Caucasian,0,0,0
21,1,Female,African-American,0,1,1
31,0,Male,Caucasian,0,0,0
38,1,Male,African-American,0,1,1
36,4,Female,Caucasian,1,1,0
47,5,Male,African-American,0,0,0
28,5,Male,African-American,1,1,0
46,0,Male,African-American,0,1,1
28,0,Male,African-American,0,0,0
26,10,Male,Caucasian,1,1,0
60,1,Male,Other,0,0,0
39,0,Male,Caucasian,1,0,1
25,5,Male,African-American,1,0,1
32,12,Male,African-American,0,1,1
33,3,Male,African-American,1,1,0
26,0,Female,African-American,0,0,0
33,2,Male,African-American,0,0,0
31,0,Male,Caucasian,0,0,0
22,0,Male,African-American,0,1,1
28,1,Male,Other,1,0,1
54,1,Male,Caucasian,1,0,1
35,0,Male,Other,0,0,0
25,2,Male,Other,0,0,0
24,8,Male,Caucasian,0,1,1
22,0,Male,African-American,0,0,0
44,1,Female,Caucasian,0,0,0
47,7,Male,African-American,1,0,1
46,10,Male,African-American,1,0,1
31,0,Female,Caucasian,1,1,0
23,2,Male,Hispanic,0,1,1
19,1,Female,Caucasian,1,1,0
34,1,Female,African-American,0,0,0
23,4,Female,African-American,1,1,0
21,0,Male,African-American,0,0,0
43,6,Male,Caucasian,1,0,1
21,3,Male,Caucasian,0,1,1
21,0,Male,African-American,1,0,1
31,3,Male,African-American,1,1,0
59,0,Male,Caucasian,0,0,0
51,0,Male,Caucasian,0,0,0
29,6,Male,African-American,1,1,0
51,1,Male,African-American,0,0,0
20,0,Male,Hispanic,0,0,0
25,4,Male,African-American,0,1,1
49,1,Male,African-American,0,1,1
45,3,Male,African-American,0,0,0
35,0,Male,African-American,0,0,0
35,13,Male,African-American,0,1,1
47,1,Male,African-American,0,0,0
34,6,Female,African-American,0,0,0
44,6,Male,Caucasian,1,0,1
44,3,Male,Caucasian,0,1,1
20,0,Male,Hispanic,1,0,1
58,2,Male,Caucasian,0,1,1
40,4,Male,Caucasian,0,1,1
42,0,Female,Caucasian,0,0,0
43,2,Male,Caucasian,1,0,1
21,2,Female,African-American,0,0,0
23,10,Male,Caucasian,0,1,1
28,2,Male,Other,0,0,0
43,2,Male,Other,0,0,0
37,4,Male,Caucasian,1,0,1
23,2,Male,Other,0,1,1
25,2,Male,African-American,1,1,0
55,0,Male,Caucasian,0,0,0
47,0,Female,Caucasian,0,0,0
46,4,Male,Caucasian,0,0,0
29,7,Male,African-American,1,1,0
30,7,Male,African-American,0,0,0
31,2,Male,African-American,0,0,0
22,2,Male,African-American,1,1,0
23,1,Male,Caucasian,1,1,0
58,0,Male,Caucasian,0,0,0
61,1,Male,African-American,0,0,0
35,4,Male,African-American,0,0,0
28,1,Male,Caucasian,1,1,0
45,0,Female,Other,0,0,0
25,8,Male,African-American,1,1,0
55,1,Male,Caucasian,0,0,0
28,11,Male,Hispanic,0,1,1
29,17,Male,Hispanic,1,1,0
55,1,Male,Caucasian,1,0,1
37,2,Male,Other,1,0,1
30,4,Female,African-American,0,1,1
40,0,Male,Caucasian,0,0,0
32,11,Male,African-American,1,1,0
25,2,Male,Caucasian,0,1,1
41,1,Male,African-American,0,0,0
35,10,Female,Hispanic,0,1,1
21,0,Female,Caucasian,0,0,0
21,0,Female,African-American,1,0,1
25,4,Male,Caucasian,0,1,1
31,5,Male,African-American,0,1,1
25,0,Male,Other,0,0,0
33,14,Male,African-American,1,1,0
29,8,Male,African-American,1,1,0
26,1,Male,African-American,1,1,0
25,0,Female,Caucasian,0,0,0
47,7,Female,African-American,1,1,0
27,2,Male,African-American,0,0,0
22,0,Male,African-American,1,1,0
33,4,Male,Other,1,0,1
55,8,Male,African-American,1,0,1
29,4,Male,Other,1,1,0
24,1,Female,Caucasian,1,0,1
21,1,Male,Hispanic,0,1,1
41,0,Male,Caucasian,0,0,0
21,0,Male,Other,1,0,1
31,15,Male,African-American,1,1,0
30,3,Female,African-American,0,1,1
31,4,Male,Caucasian,1,1,0
23,0,Female,African-American,0,0,0
25,1,Female,African-American,0,0,0
22,1,Male,Other,0,0,0
42,6,Male,African-American,1,1,0
29,5,Male,African-American,1,1,0
27,2,Male,African-American,0,1,1
24,3,Male,Caucasian,0,1,1
40,10,Male,Caucasian,1,1,0
57,9,Male,African-American,0,1,1
